900046192;Морозов М.М.;Головино п., Улица не указана, Школьная, 0;0;0
900085693;Михайлов М.М.;Гусь-Хрустальный г., Пионерская пр-кт, Дом не указан, Квартира не указана;519;324.06
900085696;Сидоров С.С.;Лакинск г., Улица не указана, Гагарина, 0;0;0
900085712;Новиков Н.Н.;Ковров г., Новая пер, Дом не указан, Квартира не указана;519;288.51
900085717;данные отсутствуют;Лакинск г., Полевая б-р, 138, 0;519;492.34
900085729;Сидоров С.С.;Юрьевец п., Новая пр-кт, Дом не указан, Квартира не указана;519;435.03
900085771;Егоров Е.Е.;Сокол п., Набережная ул, 81, 141;519;69.83;3300000001 ХВС;0
900085790;Новиков Н.Н.;Бавлены п., Улица не указана, Школьная, 0;0;0
900085808;Иванов И.И.;Телегино д., Комсомольская наб, Дом не указан, Квартира не указана;519;450.10
900085848;Попов Д.Д.;Новоселка д., Лесная б-р, 121, 74;519;0
900085878;данные отсутствуют;Бавлены п., Молодежная ул, 112А, 0;519;297.74
900085887;Лебедев Л.Л.;Камешково г., Набережная шоссе, 8, 14;519;401.67;3300000001 ХВС;0
900085933;Лебедев Л.Л.;Телегино д., Улица не указана, Луговая, 0;0;0
900085979;Лебедев Л.Л.;Телегино д., Школьная шоссе, Дом не указан, Квартира не указана;519;419.68
900086017;Лебедев Л.Л.;Гусь-Хрустальный г., Улица не указана, Заречная, 0;0;0
900086047;данные отсутствуют;Бавлены п., Строительная пл, 18, 0;519;296.34
900086053;Семёнов С.С.;Ставрово п., Улица не указана, Набережная, 0;0;0
900086089;данные отсутствуют;Муром г., Комсомольская наб, 73, 0;519;390.18
900086130;данные отсутствуют;Суздаль г., Луговая наб, 105, 0;519;533.29
900086146;Егоров Е.Е.;Боголюбово п., Первомайская пр-кт, 55, 111;519;184.26;3300000001 ХВС;0
900086185;Семёнов С.С.;Лемешки с., Лесная тер, Дом не указан, Квартира не указана;519;542.73
900086225;Фёдоров Ф.Ф.;Беречино д., Комсомольская наб, 24, 14;519;0
900086227;Сидоров С.С.;Семьинское с., Улица не указана, Октябрьская, 0;0;0
900086273;Петров П.П.;Ковров г., Мира мкр, 37, 80;519;470.37;3300000001 ХВС;0
900086292;Михайлов М.М.;Боголюбово п., Садовая пл, 146, 147;519;170.97;3300000001 ХВС;0
900086341;Новиков Н.Н.;Красная Горбатка п., Новая наб, 37, 134;519;0
900086358;Егоров Е.Е.;Юрьевец п., Улица не указана, Садовая, 0;0;0
900086378;Васильев Е.Е.;Киржач г., Комсомольская мкр, 18, 59;519;0
900086388;Кузнецов А.А.;Бавлены п., Пушкина б-р, Дом не указан, Квартира не указана;519;91.01
900086396;Новиков Н.Н.;Гусь-Хрустальный г., Центральная пер, Дом не указан, Квартира не указана;519;476.07
900086411;Семёнов С.С.;Киржач г., Набережная мкр, Дом не указан, Квартира не указана;519;300.62
900086447;Кузнецов А.А.;Сокол п., Луговая ул, Дом не указан, Квартира не указана;519;167.37
900086475;Морозов М.М.;Ковров г., Советская пл, 139, 114;519;124.04;3300000001 ХВС;0
900086487;Попов Д.Д.;Юрьевец п., Лесная мкр, 50, 143;519;471.10;3300000001 ХВС;0
900086492;Алексеев А.А.;Юрьевец п., Школьная пл, 102, 14;519;0
900086502;данные отсутствуют;Вязники г., Центральная шоссе, 135, 0;519;262.58
900086505;Смирнов В.В.;Собинка г., Улица не указана, Заречная, 0;0;0
900086549;Попов Д.Д.;Бавлены п., Строительная пер, Дом не указан, Квартира не указана;519;123.54
900086581;данные отсутствуют;Юрьевец п., Школьная пл, 47, 0;519;125.49
900086620;Сидоров С.С.;Красная Горбатка п., Первомайская тер, 146, 122;519;0
900086627;Кузнецов А.А.;Собинка г., Советская б-р, 94А, 38;519;523.50;3300000001 ХВС;0
900086675;Лебедев Л.Л.;Вязники г., Мира наб, Дом не указан, Квартира не указана;519;163.50
900086686;Попов Д.Д.;Беречино д., Улица не указана, Полевая, 0;0;0
900086695;Михайлов М.М.;Александров г., Центральная ул, 13, 39;519;64.56;3300000001 ХВС;0
900086698;Морозов М.М.;Бавлены п., Советская ул, 103, 87;519;0
900086729;Лебедев Л.Л.;Боголюбово п., Комсомольская ул, 92, 134;519;305.70;3300000001 ХВС;0
900086734;Морозов М.М.;Муром г., Мира пл, Дом не указан, Квартира не указана;519;514.27
900086760;Семёнов С.С.;Юрьевец п., Улица не указана, Строительная, 0;0;0
900086786;Сидоров С.С.;Гусь-Хрустальный г., Улица не указана, Строительная, 0;0;0
900086797;данные отсутствуют;Александров г., Новая пер, 5, 0;519;385.48
900086805;Попов Д.Д.;Гусь-Хрустальный г., Центральная пл, 145, 103;519;0
900086851;Васильев Е.Е.;Ковров г., Советская ул, 92, 83;519;0
900086855;Васильев Е.Е.;Сокол п., Ленина пр-кт, 17, 75;519;0
900086858;Михайлов М.М.;Семьинское с., Пионерская пл, 10, 80;519;0
900086890;Алексеев А.А.;Покров г., Улица не указана, Школьная, 0;0;0
900086940;данные отсутствуют;Владимир г., Комсомольская тер, 131, 0;519;164.53
900086950;Морозов М.М.;Телегино д., Лесная тер, 89, 77;519;0
900086968;данные отсутствуют;Семьинское с., Пионерская б-р, 95, 0;519;305.88
900087003;Алексеев А.А.;Беречино д., Свободы пр-кт, Дом не указан, Квартира не указана;519;94.49
900087030;Егоров Е.Е.;Киржач г., Свободы пер, 131А, 106;519;0
900087058;Сидоров С.С.;Беречино д., Колхозная б-р, 97, 44;519;0
900087067;Семёнов С.С.;Лемешки с., Школьная пр-кт, 82, 0;519;164.99;3300000001 ХВС;0
900087088;Волков В.В.;Юрьевец п., Улица не указана, Набережная, 0;0;0
900087108;Сидоров С.С.;Сокол п., Первомайская пл, 147, 83;519;174.89;3300000001 ХВС;0
900087123;Иванов И.И.;Новоселка д., Октябрьская тер, 24, 104;519;0
900087131;Волков В.В.;Камешково г., Улица не указана, Школьная, 0;0;0
900087139;Попов Д.Д.;Головино п., Лесная ул, Дом не указан, Квартира не указана;519;315.99
900087144;Морозов М.М.;Бавлены п., Колхозная ул, 4, 80;519;308.80;3300000001 ХВС;0
